,latent_dimension,drug,correlation,name,moa,target,indication,phase,Associated Pathways
728,1,BRD-A88138582-001-04-8::2.5::HTS,0.11640332463405169,halcinonide,glucocorticoid receptor agonist,NR3C1,corticosteroid-responsive dermatoses,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
742,1,BRD-A90551241-001-10-8::2.5::HTS,-0.10462946702470534,lornoxicam,cyclooxygenase inhibitor,"PTGS1, PTGS2","osteoarthritis, sciata",Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
773,1,BRD-A94008949-001-01-9::2.5::HTS,0.11921537827939507,telithromycin,"bacterial 30S ribosomal subunit inhibitor, bacterial 50S ribosomal subunit inhibitor","CYP1A2, CYP2D6, CYP3A4, CYP3A5, CYP3A7",pneumonia,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
786,1,BRD-A95602221-003-02-1::2.5::HTS,-0.11717670168548781,celiprolol,adrenergic receptor antagonist,"ADRA2A, ADRB1, ADRB2",Ehlers-Danlos syndrome (EDS),Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
801,1,BRD-A97674275-001-11-8::2.5::HTS,0.11547269441566801,ranolazine,sodium channel blocker,"SCN10A, SCN4A, SCN5A, SCN9A",chronic stable angina,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
830,1,BRD-K00535541-001-06-3::2.5::HTS,0.12389605593826948,9-aminoacridine,,,,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
831,1,BRD-K00573984-003-01-5::2.5::HTS,-0.10779298004622073,delapril,angiotensin converting enzyme inhibitor,ACE,hypertension,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
842,1,BRD-K00938507-001-17-8::2.5::HTS,0.10759018729125107,sulfamethoxypyridazine,bacterial antifolate,,,Withdrawn,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
861,1,BRD-K01663662-003-20-2::2.5::HTS,0.11179403769956854,diphenidol,acetylcholine receptor agonist,"CHRM1, CHRM2, CHRM3, CHRM4",vertigo,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
868,1,BRD-K01824921-001-18-5::2.5::HTS,0.10552365187817853,DPCPX,adenosine receptor antagonist,"ADORA1, ADORA2A, ADORA2B, ADORA3",,Phase 1,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
906,1,BRD-K02992638-001-11-8::2.5::HTS,-0.10495212487263733,lamivudine,nucleoside reverse transcriptase inhibitor,,"human immunodeficiency virus (HIV-1), acquired immunodeficiency syndrome (AIDS), hepatitis B",Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
909,1,BRD-K03095347-001-06-1::2.5::HTS,0.1872885029612054,levosimendan,calcium sensitizer,"KCNJ11, KCNJ8, PDE3A, TNNC1",congestive heart failure,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
921,1,BRD-K03353589-236-01-4::2.5::HTS,0.14334619892818473,ecabet,"gastrin inhibitor, urease inhibitor",NOXO1,dry eye syndrome,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1020,1,BRD-K07220430-001-18-4::2.5::HTS,0.10164104292510137,cinnarazine,calcium channel blocker,,"Meniere's disease, nausea, vomiting, Cogan's syndrome",Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1030,1,BRD-K07507905-236-02-6::2.5::HTS,-0.11216180264842043,BRL-37344,adrenergic receptor agonist,"ADRB1, ADRB2, ADRB3",,Phase 2,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1050,1,BRD-K08109215-001-06-4::2.5::HTS,0.10554556850715287,I-BET-762,bromodomain inhibitor,"BRD2, BRD3, BRD4",,Phase 2,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1069,1,BRD-K08542803-001-03-1::0.8::HTS,0.11634100022302288,gambogic-acid,caspase activator,BCL2,,Phase 2,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1109,1,BRD-K09635314-001-03-4::2.5::HTS,0.12389640300691698,m-3M3FBS,,"PLCB2, PLCB3, PLCD1, PLCG1, PLCG2",,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1119,1,BRD-K10065684-001-07-4::2.5::HTS,0.1262430975761313,dantron,laxative,,,Withdrawn,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1121,1,BRD-K10176267-001-03-3::2.5::HTS,-0.1560208054646979,L-701252,glutamate receptor antagonist,GRIN1,,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1129,1,BRD-K10671814-001-14-8::2.5::HTS,0.17355650094158978,sulfaphenazole,dihydropteroate synthetase inhibitor,DHPS,urinary tract infections,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1219,1,BRD-K12968785-001-13-3::2.5::HTS,-0.12820325830503612,bergapten,,,,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1225,1,BRD-K13050541-001-01-9::2.8::HTS,0.13256623060750397,acivicin,gamma glutamyltransferase Inhibitors,CTPS1,,Phase 2,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1342,1,BRD-K16444452-001-09-1::2.5::HTS,-0.11357914233938239,ibudilast,"leukotriene receptor antagonist, phosphodiesterase inhibitor","IL1B, IL6, PDE3A, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A","asthma, stroke",Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1357,1,BRD-K16803204-001-01-6::2.5::HTS,-0.10129224842238728,filgotinib,JAK inhibitor,"JAK1, JAK2, JAK3, TYK2",,Phase 2,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1381,1,BRD-K17561142-003-32-5::2.5::HTS,-0.10046152040995932,amiodarone,potassium channel blocker,"ADRB1, CACNA1H, CACNA2D2, KCNA7, KCNH2",ventricular arrhythmias,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1384,1,BRD-K17705806-003-04-4::2.5::HTS,0.11734643126671593,JTC-801,opioid receptor antagonist,OPRL1,,Phase 2,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1396,1,BRD-K17979676-001-01-2::2.5::HTS,0.10537459585100427,eprobemide,monoamine oxidase inhibitor,MAOA,depression,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1433,1,BRD-K19085898-001-01-8::2.5::HTS,0.1040897351271655,darapladib,phospholipase inhibitor,PLA2G7,,Phase 3,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1447,1,BRD-K19412355-001-01-0::2.5::HTS,0.10552664951848474,SB-242235,p38 MAPK inhibitor,"HSPB1, MAPK14",,Phase 1,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1468,1,BRD-K20001883-001-02-7::2.5::HTS,0.10438831577813609,apabetalone,apolipoprotein expression enhancer,BRD3,,Phase 3,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1494,1,BRD-K20742498-003-02-9::2.5::HTS,-0.1034335374686647,RS-39604,serotonin receptor antagonist,HTR4,,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1495,1,BRD-K20745393-003-01-0::2.5::HTS,0.10362263321068953,olprinone,phosphodiesterase inhibitor,PDE3A,congestive heart failure,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1496,1,BRD-K20755323-001-05-9::2.5::HTS,0.10033514145050074,SKI-II,sphingosine kinase inhibitor,SPHK1,,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1497,1,BRD-K20897876-001-10-0::2.5::HTS,0.11702649486426939,castanospermine,glucosidase inhibitor,"GAA, GBA",,Phase 2,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1519,1,BRD-K21565985-001-22-5::2.5::HTS,0.13775806839668459,xylazine,adrenergic receptor agonist,"ADRA2A, ADRA2B, ADRA2C",anesthetic,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1520,1,BRD-K21615095-001-08-4::2.5::HTS,0.10435308008291538,acetohydroxamic-acid,urease inhibitor,MMP12,urinary tract infections,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1538,1,BRD-K21937671-001-10-0::2.5::HTS,-0.12572999282327021,loxistatin-acid,cysteine peptidase inhibitor,CTSB,,Preclinical,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1566,1,BRD-K23082237-003-01-5::2.5::HTS,0.11256383673011185,butaclamol,dopamine receptor antagonist,"DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR2A",,Phase 2,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
1584,1,BRD-K23779958-001-05-8::2.5::HTS,0.11423803602548212,dichlorvos,acetylcholinesterase inhibitor,,,Launched,"['rRNA Processing R-HSA-72312', 'rRNA Processing In Nucleus And Cytosol R-HSA-8868773', 'Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226', 'tRNA Processing R-HSA-72306', 'Mitochondrial tRNA Aminoacylation R-HSA-379726', 'tRNA Aminoacylation R-HSA-379724', 'tRNA Modification In Nucleus And Cytosol R-HSA-6782315', 'Mitochondrial Protein Import R-HSA-1268020', 'rRNA Modification In Nucleus And Cytosol R-HSA-6790901', 'Cristae Formation R-HSA-8949613']"
